,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
113,703.793067,1181.644298,120,3770.8747299999995,2,2,b13+1,y20+2,2.9999999999998654,"b+1, y+2",0.006114000000025044,0.013255999999273627,0.020549999998820567,1406.57218,2362.2675000000004
129,918.504816,966.932342,149,3770.874316,2,2,y15+2,b18+1,2.9999999999998654,"b+1, y+2",0.009391999999934342,0.009564000000182205,0.020135999999183696,1835.9924,1932.8472799999997
130,820.472043,983.46699,150,3770.8730130000004,1,3,y7+2,b26+1,2.9999999999998654,"b+1, y+2",0.0035729999998466155,0.01407999999992171,0.018832999999631284,820.4684700000001,2948.3712100000002
137,617.343855,1268.093972,160,3770.8756539999995,2,2,y10+2,b23+1,2.9999999999998654,"b+1, y+2",0.005099999999856664,0.015193999999610242,0.02147399999876143,1233.67477,2535.16491
148,539.704971,1345.732827,178,3770.875596,2,2,b10+1,y23+2,2.9999999999998654,"b+1, y+2",0.004592000000002372,0.015643999999156222,0.021415999999135238,1078.39751,2690.4421700000007
153,882.98564,1002.451001,186,3770.873282,2,2,y14+2,b19+1,2.9999999999998654,"b+1, y+2",0.008149999999886859,0.009772000000339176,0.019101999999293184,1764.95529,2003.8843899999997
170,707.387051,1021.162037,211,3770.8731620000003,1,3,y6+2,b27+1,2.9999999999998654,"b+1, y+2",0.0026409999999259526,0.015160999999807245,0.018981999999596155,707.3844100000001,3061.4552700000004
186,596.726614,1288.710943,234,3770.8751140000004,2,2,b11+1,y22+2,2.9999999999998654,"b+1, y+2",0.004948000000013053,0.014805999999225605,0.02093399999967005,1192.44044,2576.3992400000006
189,579.327546,1063.848577,240,3770.873277,1,3,y5+2,b28+1,2.9999999999998654,"b+1, y+2",0.0017159999998739295,0.016200999999909982,0.019096999999419495,579.3258300000001,3189.5138500000003
193,817.84918,1067.58808,250,3770.8745200000003,2,2,b15+1,y18+2,2.9999999999998654,"b+1, y+2",0.0073400000003402965,0.011819999999715947,0.02033999999957814,1634.6831799999998,2134.1565
202,931.413618,954.02316,274,3770.873556,2,2,b17+1,y16+2,2.9999999999998654,"b+1, y+2",0.009226000000353451,0.008969999999862921,0.019375999999283522,1861.8101699999997,1907.02951
212,350.18378,1140.230185,321,3770.8743349999995,1,3,y3+2,b30+1,2.9999999999998654,"b+1, y+2",0.0005899999999883221,0.018384999999398133,0.020154999998794665,350.18319,3418.6564900000003
233,478.279434,1097.531602,431,3770.87424,1,3,y4+2,b29+1,2.9999999999998654,"b+1, y+2",0.001283999999941443,0.017595999999684864,0.020059999999375577,478.27815000000004,3290.5615300000004
247,237.099985,1177.924993,647,3770.874964,1,3,y2+2,b31+1,2.9999999999998654,"b+1, y+2",0.0008550000000298041,0.018748999999843363,0.020783999999366642,237.09912999999997,3531.7405500000004
277,941.171129,947.362187,1602,3770.8755739999997,3,1,y24+2,b9+1,2.9999999999998654,"b+1, y+2",0.015046999999412947,0.005167000000028565,0.02139399999896341,2821.4826600000006,947.3570199999999
50,706.384701,1021.496318,46,3770.873655,1,3,b7+4,b27+2,2.9999999999998654,"b+2, b+4",0.08716099999992366,0.014653999999609368,0.019474999999147258,706.29754,3062.4586200000003
46,616.842268,1268.595117,43,3770.8747700000004,2,2,y10+1,b23+2,2.9999999999998654,"b+2, y+1",0.005275999999867054,0.014134000000012747,0.02058999999962907,1232.6714200000001,2536.16826
49,706.384701,1021.496318,46,3770.873655,1,3,y6+1,b27+2,2.9999999999998654,"b+2, y+1",0.0036409999999023057,0.014653999999609368,0.019474999999147258,706.38106,3062.4586200000003
57,704.293766,1181.14284,55,3770.873212,2,2,b13+2,y20+1,2.9999999999998654,"b+2, y+1",0.004162000000178523,0.01368999999931475,0.019031999999242544,1407.5755299999998,2361.2641500000004
63,819.469685,983.801129,62,3770.873072,1,3,y7+1,b26+2,2.9999999999998654,"b+2, y+1",0.004564999999956854,0.013146999999662512,0.018891999999141262,819.4651200000001,2949.37456
80,578.325551,1064.182766,81,3770.8738489999996,1,3,y5+1,b28+2,2.9999999999998654,"b+2, y+1",0.0030709999999771753,0.015417999999499443,0.01966899999888483,578.32248,3190.5172000000002
88,559.820352,1325.617291,89,3770.875286,2,2,y9+1,b24+2,2.9999999999998654,"b+2, y+1",0.004373999999870648,0.015551999999843247,0.02110599999923579,1118.62849,2650.21119
89,477.277555,1097.865943,90,3770.8753840000004,1,3,y4+1,b29+2,2.9999999999998654,"b+2, y+1",0.0027549999999791908,0.017268999999942025,0.021203999999670486,477.2748,3291.5648800000004
96,647.751052,1237.685092,98,3770.8722879999996,2,2,b12+2,y21+1,2.9999999999998654,"b+2, y+1",0.002793999999994412,0.014133999999103253,0.018107999998846935,1294.49147,2474.3482100000006
107,410.238225,1475.200129,111,3770.8767080000002,2,2,y7+1,b26+2,2.9999999999998654,"b+2, y+1",0.0034899999999424836,0.0178579999997055,0.02252799999951094,819.4651200000001,2949.37456
114,882.484263,1002.95252,121,3770.873566,2,2,y14+1,b19+2,2.9999999999998654,"b+2, y+1",0.00874599999997372,0.00946000000044478,0.019385999999485648,1763.9519400000001,2004.8877399999997
116,932.554952,946.106347,127,3770.873993,1,3,y8+1,b25+2,2.9999999999998654,"b+2, y+1",0.005771999999865329,0.012861000000157219,0.019812999999430758,932.5491800000001,2836.2905
119,760.836221,1124.600103,130,3770.872648,2,2,b14+2,y19+1,2.9999999999998654,"b+2, y+1",0.005012000000306216,0.012275999999474152,0.018467999999302265,1520.6595899999998,2248.1800900000003
142,931.913984,953.522196,169,3770.8723600000003,2,2,b17+2,y16+1,2.9999999999998654,"b+2, y+1",0.0066080000003694295,0.010391999999910695,0.018179999999574648,1862.8135199999997,1906.0261600000001
144,846.064658,1232.679204,173,3770.873178,3,1,b23+2,y10+1,2.9999999999998654,"b+2, y+1",0.010033999999905063,0.007783999999901425,0.018997999999101012,2536.16826,1232.6714200000001
