m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
612.83288	878.3034200000001	106714.94	78776.875	172.06389	693	12457.833984	24150.802734	16	612.832898	878.90543	1	5	ffc_line
836.68458	834.73632	22646.57	22412.372	109.85585	11599	3444.924316	4217.508301	16	833.693168	834.736321	1	5	ffc_line
781.9581800000001	845.0847400000001	54810.528	50930.664	222.49159	124	5269.186523	9708.594727	16	782.963176	844.883635	1	5	ffc_line
825.98468	836.48396	202713.89	139425.32	144.55242	2468	90494.71875	7937.460938	16	825.984697	836.279339	1	5	ffc_line
730.92478	853.89042	851186.65	338693.37	128.39916	5186	4612.88916	1393404.625	16	734.92801	854.49221	1	5	ffc_line
666.8780800000001	867.3098200000001	80632.13	64789.329	180.86244	463	31389.041016	3997.251465	16	668.873655	867.711808	1	5	ffc_line
666.37648	790.21738	121977.39	76899.737	128.37468	5191	136702.09375	5484.28418	17	666.878039	790.968177	2	4	ffc_line
532.79898	857.7574050000001	37317.492	35145.443	232.31713	100	2668.499268	8028.484375	17	533.300365	857.757291	2	4	ffc_line
666.37648	790.21738	435104.09	182483.42	159.97046	1192	186418.96875	15514.326172	17	666.376489	791.219504	2	4	ffc_line
725.41588	761.449055	571057.17	349984.15	281.97991	51	29642.630859	96996.125	17	725.415877	761.699887	2	4	ffc_line
661.3680300000001	793.473055	206521.58	92218.139	134.09718	3981	10474.780273	100787.984375	17	661.368052	793.723885	2	4	ffc_line
532.79898	857.7574050000001	64634.574	54415.498	234.9488	96	4604.45459	24387.839844	17	532.798998	858.008507	2	4	ffc_line
596.84668	825.7338550000001	167611.95	138692.12	325.87976	26	12084.492188	27114.330078	17	597.348212	825.733908	2	4	ffc_line
596.84668	825.7338550000001	452157.11	299569.92	339.0188	20	18650.214844	90494.71875	17	596.84668	825.984697	2	4	ffc_line
572.26918	837.03538	19649.015	16518.96	124.50225	6194	5162.444336	9987.385742	17	572.269187	838.286359	2	4	ffc_line
839.0804	842.48568	56034.305	48012.428	112.28004	10487	21614.332031	3957.466797	18	839.882789	843.485515	5	1	ffc_line
789.86618	1095.56148	51878.971	33123.654	136.76106	3522	15538.541016	10853.066406	18	789.468359	1095.561522	5	1	ffc_line
833.0814200000001	873.50408	32686.789	29622.481	103.36627	14994	7233.86084	5535.236816	18	834.283234	871.50806	5	1	ffc_line
832.8813399999999	873.50408	31216.493	29091.691	111.9847	10608	6536.040527	4207.770508	18	834.081891	872.515476	5	1	ffc_line
836.48396	854.4921800000001	21732.227	20317.52	103.41942	14965	10892.772461	2551.568604	18	837.286218	856.507108	5	1	ffc_line
812.8714	977.57018	41263.36	35381.62	119.8506	7606	4149.53125	14567.754883	18	813.877647	973.559957	5	1	ffc_line
838.0854600000001	854.4921800000001	34557.17	31409.136	115.38011	9197	9905.740234	3893.432617	18	838.689939	849.502881	5	1	ffc_line
