,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
81920,483.762116,1094.967124,51,483.762116,5474.83562,5958.597736,967.524232,4379.868496,5347.392728,1451.286348,3284.9013720000003,4736.18772,1935.048464,2189.934248,4124.982712,2418.81058,1094.967124,3513.777704,4863.630612,4252.425604,3641.220596,3030.015588
3660,819.480691,836.483455,52,819.480691,4182.417275,5001.8979659999995,1638.961382,3345.93382,4984.895202,2458.442073,2509.450365,4967.892438000001,3277.922764,1672.96691,4950.889674,4097.403455,836.483455,4933.886909999999,4165.414511,4148.411747,4131.408983,4114.406219
57186,860.163799,915.497183,53,860.163799,4577.485914999999,5437.649713999999,1720.327598,3661.988732,5382.31633,2580.4913970000002,2746.491549,5326.982946,3440.655196,1830.994366,5271.6495620000005,4300.8189950000005,915.497183,5216.316178000001,4522.152531,4466.819147,4411.485763000001,4356.152379
8283,761.449142,1192.68567,54,761.449142,5963.42835,6724.8774920000005,1522.898284,4770.74268,6293.640964,2284.3474260000003,3578.0570100000004,5862.404436000001,3045.796568,2385.37134,5431.167908,3807.24571,1192.68567,4999.93138,5532.191822000001,5100.955294,4669.718766,4238.4822380000005
214901,697.383776,952.55109678,55,697.383776,4762.7554838999995,5460.139259899999,1394.767552,3810.20438712,5204.97193912,2092.151328,2857.65329034,4949.80461834,2789.535104,1905.10219356,4694.63729756,3486.91888,952.55109678,4439.46997678,4507.58816312,4252.42084234,3997.25352156,3742.08620078
20983,683.068037,776.06793003,56,683.068037,3880.3396501499997,4563.40768715,1366.136074,3104.27172012,4470.407794119999,2049.204111,2328.20379009,4377.40790109,2732.272148,1552.13586006,4284.40800806,3415.340185,776.06793003,4191.40811503,3787.33975712,3694.33986409,3601.3399710599997,3508.34007803
33135,911.539033,1000.922657,57,911.539033,5004.613284999999,5916.1523179999995,1823.078066,4003.690628,5826.768694,2734.617099,3002.7679709999998,5737.38507,3646.156132,2001.845314,5648.001446,4557.695165,1000.922657,5558.617822,4915.229660999999,4825.846036999999,4736.462413,4647.078789
11095,836.483455,875.25938929,58,836.483455,4376.29694645,5212.78040145,1672.96691,3501.03755716,5174.00446716,2509.450365,2625.77816787,5135.22853287,3345.93382,1750.51877858,5096.45259858,4182.417275,875.25938929,5057.67666429,4337.521012159999,4298.74507787,4259.96914358,4221.193209290001
121460,723.889636,941.059473,59,723.889636,4705.297365,5429.187001,1447.779272,3764.237892,5212.017164,2171.668908,2823.178419,4994.8473269999995,2895.558544,1882.118946,4777.67749,3619.44818,941.059473,4560.507653,4488.127528,4270.957691,4053.787854,3836.618017
48962,790.968382,919.286295,60,790.968382,4596.431475,5387.399857,1581.936764,3677.14518,5259.081944,2372.905146,2757.858885,5130.764031000001,3163.873528,1838.57259,5002.446118,3954.84191,919.286295,4874.128205,4468.1135620000005,4339.795649,4211.477736,4083.159823
46018,864.89911003,868.10202207,61,864.89911003,4340.51011035,5205.40922038,1729.79822006,3472.40808828,5202.20630834,2594.69733009,2604.3060662099997,5199.0033963,3459.59644012,1736.20404414,5195.80048426,4324.49555015,868.10202207,5192.59757222,4337.30719831,4334.10428627,4330.901374229999,4327.69846219
59140,864.49924203,868.10202207,62,864.49924203,4340.51011035,5205.009352380001,1728.99848406,3472.40808828,5201.40657234,2593.49772609,2604.3060662099997,5197.803792299999,3457.99696812,1736.20404414,5194.20101226,4322.4962101500005,868.10202207,5190.598232220001,4336.907330309999,4333.30455027,4329.70177023,4326.09899019
22780,668.873562,875.09997903,63,668.873562,4375.49989515,5044.37345715,1337.747124,3500.39991612,4838.14704012,2006.620686,2625.2999370899997,4631.92062309,2675.494248,1750.19995806,4425.6942060599995,3344.3678099999997,875.09997903,4219.46778903,4169.27347812,3963.0470610899997,3756.8206440599997,3550.59422703
12831,733.177995,805.07231803,64,733.177995,4025.36159015,4758.53958515,1466.35599,3220.28927212,4686.645262120001,2199.533985,2415.21695409,4614.7509390899995,2932.71198,1610.14463606,4542.85661606,3665.889975,805.07231803,4470.96229303,3953.46726712,3881.57294409,3809.6786210600003,3737.78429803
52568,829.474667,973.224866,65,829.474667,4866.124330000001,5695.598997000001,1658.949334,3892.899464,5551.848798,2488.424001,2919.674598,5408.098599,3317.898668,1946.449732,5264.3484,4147.373335,973.224866,5120.598201000001,4722.3741310000005,4578.623932,4434.873733,4291.123534
