,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
210,349.181847,1140.230185,521,3769.8724019999995,1,3,y3+2,b30+1,2.9999999999998654,"b+1, y+2",0.017333000000007814,0.018384999999398133,0.0022319999989122152,349.19918,3418.6564900000003
243,940.836838,947.362187,1738,3769.8727009999993,3,1,y24+2,b9+1,2.9999999999998654,"b+1, y+2",0.0038160000008247152,0.005167000000028565,0.002530999998725747,2820.4986500000005,947.3570199999999
6,705.381744,1021.496318,4,3769.8706979999997,1,3,b7+3,b27+2,2.9999999999998654,"b+2, b+3",0.0875540000000683,0.014653999999609368,0.0005279999991216755,705.29419,3062.4586200000003
232,353.194059,1531.742273,1084,3769.872664,2,2,b7+3,b27+2,2.9999999999998654,"b+2, b+3",0.08608800000001793,0.0180859999995846,0.002493999999387597,705.29419,3062.4586200000003
0,476.274275,1097.865943,1,3769.872104,1,3,y4+1,b29+2,2.9999999999998654,"b+2, y+1",0.016515000000026703,0.017268999999942025,0.0019339999994372192,476.29079,3291.5648800000004
4,705.381744,1021.496318,4,3769.8706979999997,1,3,y6+1,b27+2,2.9999999999998654,"b+2, y+1",0.01530600000000959,0.014653999999609368,0.0005279999991216755,705.39705,3062.4586200000003
10,348.178404,1140.564372,7,3769.8715200000006,1,3,y3+1,b30+2,2.9999999999998654,"b+2, y+1",0.017426000000000386,0.01759600000013961,0.0013500000000021828,348.19583,3419.6598400000003
11,235.093728,1178.259151,8,3769.8711809999995,1,3,y2+1,b31+2,2.9999999999998654,"b+2, y+1",0.018041999999979907,0.017872999999326566,0.0010109999989253993,235.11176999999998,3532.7439000000004
13,818.466536,983.801129,10,3769.8699229999997,1,3,y7+1,b26+2,2.9999999999998654,"b+2, y+1",0.014574000000038723,0.013146999999662512,0.00024700000085431384,818.4811100000001,2949.37456
20,577.322546,1064.182766,15,3769.8708439999996,1,3,y5+1,b28+2,2.9999999999998654,"b+2, y+1",0.015924000000040905,0.015417999999499443,0.0006739999989804346,577.33847,3190.5172000000002
28,616.340608,1268.595117,26,3769.87145,2,2,y10+1,b23+2,2.9999999999998654,"b+2, y+1",0.014034000000265223,0.014134000000012747,0.0012799999994967948,1231.6874100000002,2536.16826
39,931.551515,946.106347,40,3769.8705560000003,1,3,y8+1,b25+2,2.9999999999998654,"b+2, y+1",0.013655000000085238,0.012861000000157219,0.0003859999997075647,931.5651700000001,2836.2905
54,559.319043,1325.617291,54,3769.872668,2,2,y9+1,b24+2,2.9999999999998654,"b+2, y+1",0.014234000000215019,0.015551999999843247,0.002497999999377498,1117.6444800000002,2650.21119
57,846.064658,1231.675462,57,3769.869436,3,1,b23+2,y10+1,2.9999999999998654,"b+2, y+1",0.010033999999905063,0.011948000000302272,0.0007340000006479386,2536.16826,1231.6874100000002
64,409.736522,1475.200129,65,3769.873302,2,2,y7+1,b26+2,2.9999999999998654,"b+2, y+1",0.01590600000008635,0.0178579999997055,0.0031319999993684178,818.4811100000001,2949.37456
80,931.913984,953.020518,83,3769.869004,2,2,b17+2,y16+1,2.9999999999998654,"b+2, y+1",0.0066080000003694295,0.00895400000013069,0.0011660000004667381,1862.8135199999997,1905.0421500000002
91,235.10267,1178.259151,96,3769.880123,1,3,y2+1,b31+2,2.9999999999998654,"b+2, y+1",0.00909999999998945,0.017872999999326566,0.00995299999931376,235.11176999999998,3532.7439000000004
95,647.751052,1237.183441,100,3769.8689859999995,2,2,b12+2,y21+1,2.9999999999998654,"b+2, y+1",0.002793999999994412,0.005158000000847096,0.0011840000011034135,1294.49147,2473.3642000000004
100,466.278915,1418.657554,107,3769.8729379999995,2,2,y8+1,b25+2,2.9999999999998654,"b+2, y+1",0.015180000000100335,0.016767999999501626,0.0027679999989231874,931.5651700000001,2836.2905
120,760.836221,1124.0988,140,3769.870042,2,2,b14+2,y19+1,2.9999999999998654,"b+2, y+1",0.005012000000306216,0.0063200000004144385,0.00012800000058632577,1520.6595899999998,2247.19608
129,917.501688,967.43323,155,3769.869836,2,2,y15+1,b18+2,2.9999999999998654,"b+2, y+1",0.00950400000033369,0.00799000000029082,0.0003340000007483468,1834.0050400000002,1933.8506299999997
130,704.293766,1180.641459,158,3769.87045,2,2,b13+2,y20+1,2.9999999999998654,"b+2, y+1",0.004162000000178523,0.0050620000006347254,0.00027999999929306796,1407.5755299999998,2360.2801400000003
148,881.982424,1002.95252,193,3769.869888,2,2,y14+1,b19+2,2.9999999999998654,"b+2, y+1",0.01092200000016419,0.00946000000044478,0.0002820000004248868,1762.9679300000003,2004.8877399999997
157,884.079238,1117.631792,206,3769.869506,3,1,b24+2,y9+1,2.9999999999998654,"b+2, y+1",0.010843999999906373,0.012688000000252941,0.0006640000005972979,2650.21119,1117.6444800000002
163,672.883173,1212.053069,221,3769.8724840000004,2,2,y11+1,b22+2,2.9999999999998654,"b+2, y+1",0.012964000000010856,0.014098000000103639,0.0023139999998420535,1344.7714700000001,2423.0842
174,803.931349,1081.003689,245,3769.8700759999997,2,2,y13+1,b20+2,2.9999999999998654,"b+2, y+1",0.011962000000266926,0.010687999999845488,9.400000089954119e-05,1606.8668200000002,2160.9888499999997
221,746.417687,1138.517507,831,3769.8703880000003,2,2,y12+1,b21+2,2.9999999999998654,"b+2, y+1",0.012346000000206914,0.011383999999907246,0.00021799999967697659,1491.8398800000002,2276.01579
230,353.194059,1531.742273,1084,3769.872664,2,2,y6+1,b27+2,2.9999999999998654,"b+2, y+1",0.01677200000005996,0.0180859999995846,0.002493999999387597,705.39705,3062.4586200000003
5,705.381744,1021.496318,4,3769.8706979999997,1,3,b7+3,y26,2.9999999999998654,b+3,0.0875540000000683,0.08820600000080958,0.0005279999991216755,705.29419,3062.5614800000008
231,353.194059,1531.742273,1084,3769.872664,2,2,b7+3,y26,2.9999999999998654,b+3,0.08608800000001793,0.08477400000083435,0.002493999999387597,705.29419,3062.5614800000008
