m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
540.3033	397.1732	9947814.9	8321301.9	214.96881	159	81014.875	1189.528931
654.3592	156.1024	3369752.2	3103358.0	214.82236	160	9481.617188	968.253174
156.1024	654.3592	3369752.2	3103358.0	214.82236	160	968.253174	9481.617188
428.2156	689.8778	1712181.1	1676914.2	214.01447	161	1113.214722	996.609253
689.8778	428.2156	1712181.1	1676914.2	214.01447	161	996.609253	1113.214722
721.8903	202.1275	4097605.2	3814705.0	213.52509	162	1241.314209	11413.832031
202.1275	721.8903	4097605.2	3814705.0	213.52509	162	11413.832031	1241.314209
725.8786	754.3995	26944532.0	21377403.0	213.27547	163	1355.583618	215703.6875
754.3995	725.8786	26944532.0	21377403.0	213.27547	163	215703.6875	1355.583618
689.8778	425.7076	19563332.0	17029849.0	212.62151	164	365064.75	750.10376
425.7076	689.8778	19563332.0	17029849.0	212.62151	164	750.10376	365064.75
660.3871	202.1275	3316084.1	3090724.7	212.33042	165	781.393311	11413.832031
202.1275	660.3871	3316084.1	3090724.7	212.33042	165	11413.832031	781.393311
540.3033	383.1944	4499412.2	4099854.6	212.30366	166	4290.990234	4092.558594
383.1944	540.3033	4499412.2	4099854.6	212.30366	166	4092.558594	4290.990234
1079.6018	524.2845	1924633.8	1935911.2	212.00071	167	1535.534546	1718.238281
524.2845	1079.6018	1924633.8	1935911.2	212.00071	167	1718.238281	1535.534546
645.8503	675.3659	2860665.0	2793615.4	210.91936	168	997.601074	1951.312866
675.3659	645.8503	2860665.0	2793615.4	210.91936	168	1951.312866	997.601074
668.3616	316.115	3126558.6	3027179.5	210.64295	169	1600.582153	3013.229492
316.115	668.3616	3126558.6	3027179.5	210.64295	169	3013.229492	1600.582153
